ID,Role,Description
1884733920,"
        Analista desarrollador
    ","- Gestionar y administrar a los recursos tecnológicos institucionales para dar respuesta oportuna a las solicitudes y requerimientos de los clientes internos.- Ejecutar y monitorear actividades de operación sobre los sistemas, de acuerdo a los procedimientos establecidos.- Diseñar, desarrollar, implementar y documentar soluciones de software, usando metodologías y herramientas de última generación.- Analizar e implementar soluciones de arquitectura tecnológica en el desarrollo de proyectos- Asistir y/o asesorar técnicamente a los usuarios de la plataforma tecnológica.- Asistir y elaborar soluciones a problemáticas que se presentan en plataformas tecnológicas a nivel de software o comunicación de datos, entre otros.- Identificar propuestas e iniciativas de mejora de procesos y operación del departamento.- Brindar apoyo técnico a su jefatura directa en materias de su competencia.- Cumplir los acuerdos de confidencialidad para el manejo de información institucional- Desempeñar sus funciones de conformidad con la normatividad interna de la  Organización VID establecida en los lineamientos directivos, circulares, procedimientos y demás documentación del Sistema de Gestión de Calidad"
1884730035,"
        As400 developer
    ","Empresa Mexicana con presencia en Colombia y Estados Unidos se encuentra en búsqueda de AS400 Developer con experiencia entre 4 y 5 años manejando la herramienta, excelente beneficiosRemoto & Eventualmente alguna reunión presencialAplica y serás llamado por un profesional para iniciar este proceso de selección 100% agil"
1884737771,"
        Desarrollador front end medellín
    ","Actualmente nos encontramos en la búsqueda de un desarrollador Front End, quien se encargará del desarrollo y mejoramiento  en  la plataforma de la compañía. Es importante contar con amplio conocimiento en lenguajes de programación actualizados, en gráficos de arquitectura y escalabilidad de software.Salario: 1.300.000"
1884722511,"
        Programador coobol
    ","Importante multinacional de tecnología requiere para conformar su equipo de trabajo Ingenieros de Sistemas o afines con con conocimientos en Cobol manejo batch online DB2 JCL plataforma Altamira y bases de datos, con experiencia en el sector financiero o de telecomunicaciones."
1884733309,"
        Desarrollador devops
    ","Empresa del sector de tecnología requiere Desarrollador DevOps que cumpla con los siguientes requisitos:Nivel educativo: profesional en ingeniería de sistemas o Software o electrónica. Debe contar con alguna certificación en DevOps.Experiencia laboral: mínima de 3 años, a partir de la expedición de la tarjeta profesional, como Ingeniero DevOps en entornos Azure, con conocimientos en Azure DevOps, C infraestructura como código y metodologías ágiles.* Conocimiento en lenguajes de programación.* Conocimiento en Bases de datos* Conocimiento en arquitectura web y arquitectura basada en microservicios* Preferiblemente que tenga conocimientos en integraciones* Seguimiento de código fuente, capacidad de despliegue y aplicaciones."
1884742536,"
        Arquitecto desarrollador
    ","Ingeniero de Sistemas o afines con mínimo 4 años  de experiencia en Desarrollo de Software. Mínimo dos años de experiencia en Arquitectura de Software. Dominio  marco TOGAF. Arquitectura SOA. Integración continua con AWS, AZURE, JENKINS, Etc.Contrato a termino indefinido.Remoto."
1884731110,"
        Programador as400
    ","Importante multinacional de Tecnología requiere para conformar su equipo de trabajo, Profesional en  Ingeniería de sistemas y carreras afines.Con experiencia en desarrollo de software en plataforma AS400.Utilizando herramientas Cobol/400, Cobol-SQL, Cobol-ILE, CLP, CLLE, DB2/400, ideal si cuenta con experiencia en procesos del sector financiero, en especial en las líneas de cartera o leasing."
1884739061,"
        Desarrollador api connect
    ",Perfiles Semi Senior y SeniorDesarrollador API con experiencia de +2 añosConocimiento en IBM API ConnectConocimientos básicos de openshiftDeseable conocimiento Devops
1884724625,"
        Desarrollador soa  medellín o disponibilidad de traslado
    ","Importante Multinacional de IT,  requiere para su equipo de trabajo Desarrollador SOA- API con minimo 2 años y medio de experiencia con integración ,Conocimiento en desarrollo IBM Integration BUS, ACE, Api Connect, con disponibilidad de traslado a la ciudad de Medellin.Salario a Convenir según la experiencia .Trabajo Remoto.Contrato indefinidoHorario de Lunes a Viernes"
1884734457,"
        Desarrollador de integración ibm
    ","Importante compañía del sector tecnológico, requiere para su equipo de trabajo profesional en ingeniería de sistemas o carreras afines con experiencia de 3 a 4 años como desarrollador de integración con el Bus de Servicios de IBM.Con experiencia en:Arquitectura orientada a servicios SOAIBM Integration BusDataPowerIBM Websphere MQAPI ConnectWeb Service Soap.Web Services Rest.JAVAHorario: Lunes a Viernes 7:30 am a 5:00 pmSalario propuesto: $6.200.000Contrato: Termino indefinidoModalidad de trabajo: Remoto desde Colombia.Si cumples con el perfil no dudes en postularte."
